,Item,State,Weekend,Grade,Organic,RPS,DFD,Freshness,Seasonal,Otipy_certified,Unique_Customors,Price,Demand
0,1,1,0,2,1,0.678,0.467,0.513,0,0,6606,15.75,8365
1,1,2,0,4,1,0.767,0.965,0.905,1,0,13202,31.5,14726
2,1,4,1,2,1,0.403,0.654,0.486,1,1,6193,16.5,8832
3,1,2,0,3,0,0.678,0.493,0.602,1,1,5463,15.75,7344
4,1,1,1,3,1,0.764,0.885,0.804,0,1,12862,29.4,14039
5,1,3,1,2,0,0.51,0.432,0.598,0,0,6871,15.75,8447
6,1,2,1,2,0,0.57,0.47,0.676,0,1,7371,18.9,8642
7,1,2,0,3,1,0.783,0.929,0.712,0,1,13256,27.3,15153
8,1,3,0,3,0,0.43,0.557,0.604,1,1,5954,19.95,7894
9,1,4,1,3,1,0.506,0.568,0.498,0,1,7010,17.85,8560
10,1,1,1,4,1,0.859,0.822,0.72,1,0,10532,31.5,12141
11,1,2,0,2,1,0.552,0.46,0.436,1,1,5894,15.75,7577
12,1,4,1,2,0,0.584,0.422,0.653,1,1,5872,17.6,8026
13,1,4,1,1,0,0.185,0.169,0.003,0,0,5003,12.6,6017
14,1,4,1,2,1,0.602,0.666,0.554,0,1,6067,19.95,8027
15,1,1,0,3,1,0.528,0.522,0.499,1,0,5472,18.9,6837
16,1,1,1,3,1,0.72,0.933,0.863,1,1,13084,29.7,15491
17,1,4,0,3,0,0.413,0.451,0.487,1,1,6330,18.9,7921
18,1,1,0,2,1,0.613,0.692,0.457,1,1,6460,21.0,7575
19,1,4,1,1,0,0.17,0.122,0.236,0,1,4043,10.5,5807
20,1,4,0,2,0,0.418,0.452,0.439,1,1,7573,18.9,9040
21,1,4,0,1,0,0.173,0.124,0.25,1,1,5062,14.7,6310
22,1,4,0,3,0,0.596,0.61,0.667,0,1,6459,15.75,7674
23,1,2,0,3,0,0.694,0.532,0.535,0,1,7250,17.85,8560
24,1,1,0,2,1,0.489,0.621,0.618,1,0,6674,15.75,7935
25,1,2,0,4,1,0.985,0.92,0.778,0,0,9994,27.3,11567
26,1,4,1,1,0,0.348,0.257,0.318,0,0,1605,14.7,3530
27,1,4,1,2,0,0.258,0.314,0.116,1,0,2338,16.8,3922
28,1,1,0,3,1,0.942,0.812,0.858,0,1,14773,29.4,16628
29,1,2,0,2,1,0.634,0.52,0.466,1,0,6169,18.9,7955
30,1,3,1,2,0,0.365,0.107,0.291,0,1,3413,14.7,4952
31,1,2,0,3,1,0.724,0.927,0.905,0,1,15619,30.45,17087
32,1,3,1,2,0,0.022,0.333,0.188,0,1,4925,14.7,6655
33,1,3,0,1,0,0.294,0.346,0.213,0,0,1440,15.75,2486
34,1,2,1,4,1,0.746,0.848,0.756,1,1,9406,28.6,12184
35,1,4,1,2,1,0.412,0.627,0.571,1,0,8112,17.85,9161
36,1,4,1,2,1,0.625,0.696,0.567,0,1,5911,19.95,7001
37,1,4,0,2,0,0.474,0.65,0.426,1,1,7120,16.8,8248
38,1,1,0,2,0,0.652,0.554,0.403,1,0,6291,21.0,8062
39,1,3,1,1,0,0.11,0.291,0.262,1,1,1885,17.6,4323
40,1,4,1,2,0,0.536,0.676,0.499,1,0,5431,19.95,6523
41,1,2,1,3,1,0.421,0.432,0.552,0,1,6143,17.85,8063
42,1,3,1,2,0,0.424,0.466,0.589,0,1,5783,19.95,7247
43,1,3,0,1,0,0.123,0.109,0.073,1,0,2731,16.8,4689
44,1,2,0,2,0,0.404,0.511,0.607,0,1,6435,21.0,7686
45,1,4,0,3,0,0.439,0.457,0.512,1,1,7311,16.8,8931
46,1,4,1,2,0,0.113,0.09,0.384,1,0,2576,11.55,4081
47,1,3,1,2,0,0.44,0.587,0.672,0,1,7780,18.9,9049
48,1,2,0,2,0,0.623,0.606,0.608,1,1,8022,16.8,9872
49,1,2,0,2,1,0.606,0.524,0.622,1,0,6995,15.75,8442
50,1,3,1,1,0,0.041,0.304,0.192,1,1,5352,12.1,8149
51,1,4,1,2,0,0.66,0.667,0.614,1,0,5810,19.95,7469
52,1,2,1,3,1,0.965,0.953,0.798,0,1,15519,29.4,16673
53,1,4,1,2,0,0.488,0.653,0.467,1,0,6436,19.95,7648
54,1,3,0,2,0,0.209,0.239,0.223,1,0,4438,14.7,5760
55,1,2,1,3,1,0.92,0.74,0.708,0,1,12550,29.4,14498
56,1,2,1,3,1,0.658,0.637,0.647,1,0,7695,15.75,9028
57,1,3,0,3,0,0.471,0.52,0.443,0,1,7434,17.85,8628
58,1,4,0,2,0,0.34,0.058,0.132,0,1,1459,14.7,2973
59,1,3,1,2,1,0.497,0.584,0.622,0,1,7675,21.0,9168
60,1,1,0,3,1,0.558,0.518,0.672,1,1,7694,16.8,9202
61,1,3,1,2,0,0.033,0.119,0.391,1,0,4382,11.55,6096
62,1,4,0,2,1,0.452,0.643,0.587,1,1,8361,17.85,10155
63,1,2,0,3,1,0.53,0.661,0.49,0,0,7294,19.95,8957
64,1,2,1,4,1,0.728,0.786,0.963,0,0,11860,28.35,13771
65,1,3,0,3,0,0.587,0.534,0.546,1,0,7657,17.85,9013
66,1,4,0,2,0,0.299,0.177,0.392,0,0,1706,10.5,2938
67,1,1,1,2,1,0.591,0.528,0.458,1,1,7910,22.0,9925
68,1,3,1,2,0,0.621,0.501,0.654,0,0,7724,21.0,9239
69,1,4,1,3,0,0.456,0.519,0.589,1,1,5766,17.6,8581
70,1,1,0,3,1,0.781,0.906,0.965,0,0,14304,31.5,15369
71,1,3,1,2,0,0.451,0.604,0.62,0,0,7399,16.8,9110
